МО;№п.п;Управляющая компания / ТСЖ / ЖСК;штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;Сумма штрафов (руб);Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;"устные 
замечания ";прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов 
(руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;устные замечания ;"Координаты объекта 
с точностью до 13 знака, lat";"Координаты объекта 
с точностью до 13 знака, Ing"
;48;председатель правления Учускин В.А.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.313792424959935 ;48.39195152744654
;49;ЖСК «Орион»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.26632273835551;48.303223885595834
;50;МУП «Ульяновск-электротранс»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.3678891955044;48.54349935427311
;51;ООО «УК Парк»;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.276253443645125;48.29016035422686
;52;директор Пичугин А.А.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.276253443645125;48.29016035422686
;53;ООО «ЖСК-Сервис»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.31457663721419 ;48.39647272601726
;54;УМУП УК ЖКХ г.Ульяновска;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32342932359001;48.394557628780625
;55;инженер по обслуживанию жилого фонда Лабзин А.В.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32342932359001;48.394557628780625
;56;МУП «Ульяновскводоканал»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.326255613856844;48.3643973618746
;57;директор Савельев С.А.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.326255613856844;48.3643973618746
;58;ООО «Евро-Строй-Сервис»;;;;;1;1;5000;;;;1;250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.359508241043386;48.57899805530909
;59;ген.директор Э.Р. Батраев;;;;;2;;;;;;1;30000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.359508241043386;48.57899805530909
;60;ЖКХ «Горизонт»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.28498827499656;48.286801055073745
;61;председатель Николаев Н.М.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.28498827499656;48.286801055073745
;62;ЗАО «ГК «Аметист»;;;;;2;1;5000;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.267859406120614;48.30167926847936
;63;директор Сеюков И.Х.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.267859406120614;48.30167926847936
;64;гл.инженер Носков С.Л.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.267859406120614;48.30167926847936
;65;ООО «УК Симбирск град»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.31011904194671;48.39221371337775
;66;директор Гришин И.Е.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.31011904194671;48.39221371337775
Ульяновск;67;ТСЖ «Народный контроль»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.30686628020381 ;48.38618762791158
;68;ООО «Технология»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.35128234763545;48.59222872182728
;69;МУП ЖКХ «Быт-Сервис»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 54.35128234763545   ;48.59222872182728
;70;ООО «Строительно-монтажное управление»;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.3330132067551 ;48.491524178534775
;71;Директор Яшанов А.А.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.3330132067551 ;48.491524178534775
;72;ЖСК «Жасмин»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.25614306926443 ;48.32579920068384
;73;ТСЖ «Авион»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.26865686102016 ;48.32771781831981
;74;председатель прав-я Девин Г.Н.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.26865686102016 ;48.32771781831981
;75;ООО «Экопроект»;1;40 000;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32070946092483;48.382993787527084
;76;Директор Курдюков А.Ю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32070946092483;48.382993787527084
;77;ООО «Жилищно-эксплуатационная компания»;4;170 000;;;11;;;;;;1;250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.31010649487182;48.392288815230145
;78;Директор Лисов А.К.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.31010649487182;48.392288815230145
;79;директор Кудрявцев Е.Ю.;1;4 000;;;;;;;;;1;30000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.31010649487182;48.392288815230145
;80;"ТСЖ ""Надежда""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.27757695712197;48.28955383971334
;81;председатель Бугорский В.И.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.27757695712197;48.28955383971334
;82;ООО «СК Фундамент»;1;40000;;;;;;;;;1;250000;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.270897737196;48.30352110788229
;83;зам.директора Ярославская Т.А.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.270897737196;48.30352110788229
;84;ген.директор Алимов И.Х.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.270897737196;48.30352110788229
;85;директор Чилихин В.П.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.270897737196;48.30352110788229
