Рег. номер маршрута  ;порядковый номер маршрута;наименование маршрута ;наименования промежуточных остановочных пунктов по маршруту регулярных перевозок или наименования поселений, в границах которых расположены промежуточные остановочные пункты ; наименования улиц, автомобильных дорог, по которым предполагается движение транспортных средств между остановочными пунктами по маршруту регулярных перевозок;протяженность маршрута регулярных перевозок, км; порядок посадки и высадки пассажиров (только в установленных остановочных пунктах или, если это не запрещено настоящим Федеральным законом, в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок) ; вид регулярных перевозок (по регулируемым тарифам или по нерегулируемым тарифам);Вид;Класс;Максимальное количество;Экологические характеристики;дата начала осуществления регулярных перевозок ;наименование юридического лица, фамилия, имя и, если имеется, отчество индивидуального предпринимателя;место нахождения ;
115;777;Вологда-Харовск;Вологда, Харовск;Вологда (Зосимовская, Герцена, М.Ульяновой, С.Орлова, Чернышевского), АД М8, АД Сокол-Харовск-Вожега, Харовск (ул. Пустораменская);113,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;13.04.2015;ИП Илюшова Людмила Васильевна;г. Архангельск;
116;;;;;;;;;;;;;;;
117;101;Череповец - Абаканово;Тоншалово, Кошта, разв.Шухободь, Шухободь, Слабеево, Михайлово, Кроминская, Селище, Абаканово ;г. Череповец (М.Горького, Комсомольская, Добролюбова, Школьная, Кирилловское шоссе), АД подъезд к г.Череповцу, АД А114 Вологда-Новая Ладога, АД  Слабеево-Абаканово (в обратном направлении Северная дорога г. Череповец (ул.Городского Питомника, Кирилловское шоссе, Школьная, Добролюбова, Комсомольская) ;33,2;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С Б;2;0 - 5;01.05.2011;МУП «Автоколонна № 1456»,       ИП Русяев Олег Иванович,  ИП Ратанов Андрей Николаевич,  ИП Ермаков Евгений Анатольевич,  ИП Матюнин Владимир Вадимович;г.Череповец, ул.Боршодская, 12    г.Череповец     г.Череповец    г.Череповец    г.Череповец;
118;102;Череповец - Шухободь до Доменной;Доменная, Заводоуправление ОАО "Северсталь", проходная "Комарова", Череповецкий государственный университет, Волейбольный центр, База овощная, ДРСУ, Солманское, Тоншалово, Кошта, разв. Шухободь, отв. Шухободь, Шухободь;г. Череповец (Мира, пр.Победы, ул. Сталеваров, ул. Школьная, Кирилловское шоссе), АД подъезд к г.Череповцу, АД А114 Вологда-Новая Ладога, АД Слабеево-Абаканово;29;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С Б;3;0 - 5;01.05.2011;МУП «Автоколонна № 1456»,       ИП Русяев Олег Иванович,  ИП Ратанов Андрей Николаевич,  ИП Ермаков Евгений Анатольевич,  ИП Матюнин Владимир Вадимович;г.Череповец, ул.Боршодская, 12    г.Череповец     г.Череповец    г.Череповец    г.Череповец;
119;103;Череповец - Дора;Тоншалово, Кошта, разв.Шухободь, Шухободь, Слабеево, Михайлово, Кроминская, Селище, Абаканово, Сумино, Покров, Никольское, Глухарево, Погорелка;г. Череповец (М.Горького, Комсомольская, Школьная, Кирилловское шоссе) АД подъезд к г.Череповцу, АД А114 Вологда-Новая Ладога, АД Слабеево- Абаканово, АД-Абаканово-Сумино-Шухтово-Дора ;54;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С Б;3;0 - 5;01.05.2011;МУП «Автоколонна № 1456»,       ИП Русяев Олег Иванович              ИП Ратанов Андрей Николаевич   ИП Ермаков Евгений Анатольевич  ИП Матюнин Владимир Вадимович;г.Череповец, ул.Боршодская, 12    г.Череповец     г.Череповец    г.Череповец    г.Череповец;
120;104;Череповец - Фабрика 7-ой годовщины;ДРСУ, Солманское, Тоншалово, Войново, разв.Малечкино, Сельце, Кошта, разв.Шухободь, Плосково, Нелазское, разв.Шулма, Шулма, Труженик, Торфа, Дачи;г. Череповец (М.Горького, Комсомольская, Добролюбова, Школьная, Кирилловское шоссе) АД подъезд к г.Череповцу, АД  А114 Вологда-Новая Ладога, АД А114 Шулма-Крутец, АД Труженик-п.Андогский ;44,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С Б;2;0 - 5;01.05.2011;МУП «Автоколонна № 1456»,       ИП Русяев Олег Иванович                  ИП Ратанов Андрей Николаевич   ИП Ермаков Евгений Анатольевич  ИП Матюнин Владимир Вадимович;г.Череповец, ул.Боршодская, 12    г.Череповец     г.Череповец    г.Череповец    г.Череповец;
121;105;Череповец - Шулма;ЧВИИРиЭ, Серов пер., Мясокомбинат, Ясная Поляна, ОАО"Азот", Новые углы, ОАО"Аммофос", Нелазское, разв.Шулма ;г. Череповец (М.Горького, Комсомольская, Советский пр., Кирилловское шоссе, ул.Городского Питомника) Северная дорога, АД подъезд к г.Череповцу, АД А114 Вологда-Новая Ладога, АД А-114 Шулма - Крутец ;32;только в установленных остановочных пунктах;регулируемый тариф;автобус;ОМ М С Б;3;0 - 5;01.05.2011;МУП «Автоколонна № 1456»,       ИП Русяев Олег Иванович                      ИП Ратанов Андрей Николаевич   ИП Ермаков Евгений Анатольевич  ИП Матюнин Владимир Вадимович;г.Череповец, ул.Боршодская, 12    г.Череповец     г.Череповец    г.Череповец    г.Череповец;
122;106;Череповец - Шухободь;Тоншалово, Кошта, разв.Шухободь, Шухободь, в обратном направлении ОАО"Аммофос", Новые углы, ОАО"Азот", Ясная Поляна;г. Череповец (М.Горького, Комсомольская, Добролюбова, Школьная, Кирилловское щоссе) АД подъезд к г.Череповцу, АД А114 Вологда-Новая Ладога, АД Слабеево-Абаканово, АД подъезд к г.Череповцу, Северная дорога ;26;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С Б;3;0 - 5;01.05.2011;МУП «Автоколонна № 1456»,       ИП Русяев Олег Иванович                         ИП Ратанов Андрей Николаевич   ИП Ермаков Евгений Анатольевич  ИП Матюнин Владимир Вадимович;г.Череповец, ул.Боршодская, 12    г.Череповец     г.Череповец    г.Череповец    г.Череповец;
123;107;Череповец - Нова;Рынок,  Красноармейская площадь, Набережная,  Первомайская, Красный ткач, Суворова, Архангельская, Юбилейная, Электрон, Олимпийская, Питино, Свинокомплекс, Ванеево, Ирдоматка, Ирдоматка-2, КП "Восточный", Хлор, Нова   ;г. Череповец (М.Горького, Комсомольская, Советский пр. (в обратном направлении М.Горького, Комсомольская),  Проспект Победы, Олимпийская), АД Череповец-Ирдоматка АД  Ирдоматка -Шайма;19,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;С Б;3;0 - 5;01.05.2011;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
124;108;Череповец - Шайма;Рынок,  Красноармейская площадь, Набережная,  Первомайская, Красный ткач, Суворова, Архангельская, Юбилейная, Электрон, Олимпийская), Питино, Свинокомплекс,  Ванеево, Ирдоматка, Ирдоматка-2, КП "Восточный", Хлор    ;г. Череповец (М.Горького, Комсомольская, Советский пр. (в обратном направлении М.Горького, Комсомольская),  Проспект Победы, Олимпийская), АД Череповец-Ирдоматка АД  Ирдоматка -Шайма;16,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;С Б;4;0 - 5;01.05.2011;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
125;109;Череповец - СНТ "Романда";Рынок, Кр.площадь, Набережная, Первомайская, Красный ткач, Суворова, Архангельская, Юбилейная, Электрон, Олимпийская, Питино, Свинокомплекс, Ванеево, Ирдоматка1, Ирдоматка2, "Гермес", "Рябинушка", "Надежда", "Дубрава" ;г. Череповец (М.Горького, Комсомольская, Советский пр., Пр. Победы, Олимпийская), АД Череповец-Ирдоматка, АД Ирдоматка-Романда ;16,1;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус; С Б ОБ;2;0 - 5;01.05.2011;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
126;110;Череповец - Суда-ДСК;ДРСУ, Солманское, Тоншалово, Войново, разв.Малечкино, Сельце, Кошта, разв.Шухободь, Плосково, Нелазское, разв.Шулма, разв.Суда, Межное, Вокзал, Почта, Гагарина, Северное;г. Череповец (М.Горького, Комсомольская, Школьная, Кирилловское шоссе), АД подъезд к г.ЧереповцуАД  А114 Вологда-Новая Ладога АД А-114 Суда- ДСК ;43,3;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.05.2011;МУП «Автоколонна № 1456»,       ИП Русяев Олег Иванович           ИП Ратанов Андрей Николаевич   ИП Ермаков Евгений Анатольевич  ИП Матюнин Владимир Вадимович;г.Череповец, ул.Боршодская, 12    г.Череповец     г.Череповец    г.Череповец    г.Череповец;
