Код;Адрес МКД;Документ,подтверждающий признание МКД аварийным, номер;Документ,подтверждающий признание МКД аварийным, дата;Планируемая дата окончания переселения;Планируемая дата сноса/реконструкции  МКД;Число жителей всего, чел;Число жителей планируемых к переселению, чел;Общая площадь жилых помещений МКД, кв м;Количество расселяемых жилых помещений, ед;Расселяемая площадь жилых помещений, кв м
97;г Камышлов ул Карла Маркса д.32 литера А;Акт и заключение межведомственной комиссии № 44;2011-10-02;4.2015;2.2016;18;18;102.9000;10;102.9000
98;г Камышлов ул Карла Маркса д.51;Акт и заключение межведомственной комиссии № 17;2011-07-20;4.2015;4.2016;22;22;273.8000;10;273.8000
99;г Камышлов ул Комсомольская д.26 литера А;Акт межведомственной комиссии № 1;2003-01-27;4.2015;2.2016;11;11;89.6000;3;89.6000
100;г Камышлов ул Красных Орлов д.30 литера А;Акт межведомственной комиссии № 8;2003-01-28;4.2015;2.2016;24;24;227.9000;9;227.9000
101;г Камышлов ул Ленина д.7;Акт и заключение межведомственной комиссии № 29;2008-09-17;4.2015;2.2016;2;2;52.6000;2;52.6000
102;г Камышлов ул Строителей д.23А;Акт и заключение межведомственной комиссии № 37;2008-09-17;4.2015;2.2016;2;2;122.1000;2;122.1000
103;г Камышлов ул Строителей д.34;Акт и заключение межведомственной комиссии № 42;2008-09-17;4.2015;2.2016;5;5;82.1000;3;82.1000
104;г Камышлов ул Энгельса д.134 литера Б;Акт и заключение межведомственной комиссии № 2;2008-09-17;4.2015;2.2016;3;3;109.6000;3;109.6000
105;г Камышлов ул Энгельса д.188;Акт и заключение межведомственной комиссии № 32;2008-09-17;4.2015;2.2016;5;5;146.1000;2;146.1000
106;г Камышлов ул Энгельса д.262 литера А;Акт и заключение межведомственной комиссии № 16;2008-09-17;4.2015;2.2016;4;4;102.3000;2;102.3000
107;г Камышлов ул Энгельса д.268;Акт и заключение межведомственной комиссии № 17;2008-09-17;4.2015;2.2016;7;7;92.3000;3;92.3000
108;г Карпинск пер Герцена д.1;Заключение межведомственной комиссии № 141;2011-12-27;4.2015;3.2016;7;7;171.3000;4;171.3000
109;г Карпинск пер Герцена д.10;Заключение межведомственной комиссии № 143;2011-12-27;4.2015;3.2016;17;17;177.5000;3;133.0000
110;г Карпинск пер Герцена д.14;Заключение межведомственной комиссии № 140;2011-12-27;4.2015;3.2016;5;5;174.6000;3;131.3000
111;г Карпинск пер Герцена д.3;Заключение межведомственной комиссии № 142;2011-12-27;4.2015;3.2016;3;3;170.5000;3;128.1000
112;г Карпинск ул Белинского д.93А;Заключение межведомственной комиссии № 147;2011-12-27;4.2015;3.2016;14;14;257.2000;5;210.0000
113;г Карпинск ул Ленина д.104;Заключение межведомственной комиссии № 157;2011-12-27;4.2015;3.2016;21;21;534.7000;8;463.8000
114;г Карпинск ул Ленина д.106;Заключение межведомственной комиссии № 158;2011-12-27;4.2015;3.2016;18;18;549.7000;6;413.1000
115;г Карпинск ул Ленина д.90А;Заключение межведомственной комиссии № 152;2011-12-27;4.2015;3.2016;17;17;353.7000;7;313.1000
116;г Карпинск ул Ленина д.92А;Заключение межведомственной комиссии № 153;2011-12-27;4.2015;3.2016;20;20;348.4000;7;309.7000
117;г Карпинск ул Ленина д.94;Заключение межведомственной комиссии № 154;2011-12-27;4.2015;3.2016;12;12;359.5000;5;229.3000
